"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"8166","20230630","3","119800","600","10300","-","11.63","-","-","-","-","119800","600","10300","-"
"8167","20230630","2","37400","1500","62100","17200","0.6","28400","1500","18900","-2400","9000","-","43200","19600"
"8168","20230630","2","51300","4100","33000","3600","1.55","43900","5100","19500","4400","7400","-1000","13500","-800"
"8173","20230630","2","61300","-100","12800","-2000","4.79","34400","-1800","1800","-2800","26900","1700","11000","800"
"8174","20230630","2","55200","-3800","37200","-9800","1.48","21600","-4900","29100","-8200","33600","1100","8100","-1600"
"8179","20230630","2","126800","-16700","123400","-2115100","1.03","95800","-17300","84700","-110100","31000","600","38700","-2005000"
"8181","20230630","1","15000","-200","-","-","-","6100","500","-","-","8900","-700","-","-"
"8182","20230630","2","52800","8300","3200","-1100","16.5","33600","6100","3100","-100","19200","2200","100","-1000"
"8185","20230630","2","325500","1500","17200","-1400","18.92","33600","1800","5000","-1500","291900","-300","12200","100"
"8194","20230630","2","28100","-1500","40600","-108000","0.69","10800","-3400","30700","-106300","17300","1900","9900","-1700"
"8198","20230630","1","9800","-1200","-","-","-","5100","-400","-","-","4700","-800","-","-"
"8200","20230630","2","39400","7300","690800","271900","0.06","25900","6800","42900","-1200","13500","500","647900","273100"
"8202","20230630","2","5392800","73000","1801900","-86000","2.99","3393200","44800","1801900","-86000","1999600","28200","-","-"
"8203","20230630","2","154100","-2100","15600","2500","9.88","64300","-2400","13200","1100","89800","300","2400","1400"
"8207","20230630","1","242200","-53600","217600","-500","1.11","175600","-53400","-","-","66600","-200","217600","-500"
"8208","20230630","1","600","-100","-","-","-","200","-","-","-","400","-100","-","-"
"8209","20230630","1","105700","-8300","-","-","-","78300","-4200","-","-","27400","-4100","-","-"
"8214","20230630","2","579400","-44200","85100","100","6.81","319200","-27900","56800","-100","260200","-16300","28300","200"
"8215","20230630","1","8100","-1700","-","-","-","2000","-1900","-","-","6100","200","-","-"
"8217","20230630","2","51300","2100","32400","-6300","1.58","31500","2100","3100","-6300","19800","-","29300","-"
"8218","20230630","2","18000","1200","12700","-","1.42","9800","1300","8800","-","8200","-100","3900","-"
"8219","20230630","2","713400","-114400","426900","68600","1.67","299200","-38700","318500","-14900","414200","-75700","108400","83500"
"8225","20230630","1","47000","3100","-","-","-","23000","-600","-","-","24000","3700","-","-"
"8226","20230630","1","1397300","-14200","-","-","-","580000","-11800","-","-","817300","-2400","-","-"
"8227","20230630","2","24500","1500","54600","7500","0.45","15100","900","19800","-6100","9400","600","34800","13600"
"8230","20230630","2","556500","5300","4200","700","132.5","67300","5400","4100","700","489200","-100","100","-"
"8233","20230630","2","2264500","-269100","673100","239900","3.36","819700","-372500","347800","235800","1444800","103400","325300","4100"
"8237","20230630","2","161600","20100","46200","-2800","3.5","134200","19900","40800","-2800","27400","200","5400","-"
"8242","20230630","2","877700","-11700","76700","1900","11.44","417200","-24100","14400","-7100","460500","12400","62300","9000"
