"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"3880","大王製紙","東証PR","パルプ・紙","188280","169012926","1.44","16","185.36","0.75","6.01","1483.15","111400","100","20230920","1324","20230118","952"
"3891","ニッポン高度紙工業","東証ST","パルプ・紙","18940","10804582","2.85","50","9.83","0.84","178.41","2076.21","175300","100","20230816","2240","20231226","1661"
"3892","岡山製紙","東証ST","パルプ・紙","7601","5500000","1.3","18","5.77","0.56","239.32","2485.91","138200","100","20240202","1485","20230104","808"
"3895","ハビックス","東証ST","パルプ・紙","4644","8175280","2.11","12","8.32","0.68","68.27","840.35","56800","100","20240213","629","20230316","338"
"3896","阿波製紙","東証ST","パルプ・紙","4761","10172676","0.43","2","155.48","0.91","3.01","512.59","46800","100","20230126","940","20230104","321"
"3900","クラウドワークス","東証GR","情報通信","27157","15535860","0","0","-","4.63","-","377.81","174800","100","20230216","2050","20231027","1165"
"3901","マークラインズ","東証PR","情報通信","42223","13215200","1.31","42","26.39","7.67","121.08","416.51","319500","100","20240220","3350","20230512","2284"
"3902","メディカル・データ・ビジョン","東証PR","情報通信","22976","40027526","1.13","6.5","21.93","5.16","26.18","111.21","57400","100","20230202","1011","20240221","561"
"3903","gumi","東証PR","情報通信","15593","39576734","-","-","-","0.92","-","426.27","39400","100","20230104","1040","20231225","355"
"3904","カヤック","東証GR","情報通信","11872","16108800","0.53","3.9","23.74","2.2","31.04","335.47","73700","100","20230309","1379","20231213","617"
"3905","データセクション","東証GR","情報通信","12490","14958051","0","0","-","7.59","-64.95","110.08","83500","100","20240228","898","20230116","237"
"3907","シリコンスタジオ","東証GR","情報通信","3447","2973900","0","0","15.35","1.88","75.51","617.09","115900","100","20230712","1940","20231031","895"
"3908","コラボス","東証GR","情報通信","1639","4792200","-","-","-","0.87","-41.87","391.32","34200","100","20231225","473","20231221","306"
"3909","ショーケース","東証ST","情報通信","2683","8571100","0","0","29.04","2.47","10.78","126.63","31300","100","20230607","483","20231031","278"
"3910","エムケイシステム","東証ST","情報通信","1818","5428000","1.19","4","-","2.35","-117.37","142.79","33500","100","20230202","435","20231226","276"
"3911","Aiming","東証GR","情報通信","10362","40163500","-","-","-","2.32","-","111.44","25800","100","20230508","613","20231030","225"
"3912","モバイルファクトリー","東証ST","情報通信","6694","8925495","-","-","-","1.97","-","381.09","75000","100","20230130","1000","20231226","583"
